x,y
957,64.2857
3963,46.8889
155,73.0588
156,30.1905
2220,42.9394
290,46.0154
544,52.1852
1975,26.7778
1791,24.9706
193,37.3636
2027,52.0952
21,67.0476
5518,38.6889
3371,36.64
2798,31.9367
2092,44.6486
155,36.0943
146,48.6829
3557,56.4839
1964,26.451
1035,37.6667
2116,27.9592
3949,24.3846
1170,37.9412
26,78.8475
374,36.6667
3464,47.9643
577,25.463
45,91.1818
1976,24.5238
4977,29.2963
204,59.6
880,54.1538
372,51.0
534,74.2619
1636,32.6944
62,66.55
542,81.5893
168,43.0
3631,41.1351
1865,65.2759
1856,63.3529
1126,33.8333
50,44.6957
20,38.3621
1467,49.4444
5090,32.303
19,49.1071
324,57.7931
5502,27.3704
2615,50.0714
2789,46.5
1433,23.1154
147,59.4091
1331,48.1951
1279,59.963
3553,42.0357
541,67.3333
114,29.8857
1955,90.0769
1423,40.36
73,74.5116
7431,31.6724
3614,23.75
2864,25.6333
2004,75.6522
54,63.8095
19,48.4063
2104,36.4231
6905,55.75
538,67.5263
165,95.8621
244,26.4737
424,53.7551
1227,37.9091
2,68.4242
2744,55.0233
2161,34.0244
3136,29.3478
1790,28.1389
1234,37.1515
2130,27.7
57,49.7097
4536,34.8873
1198,22.9231
4659,32.9111
55,43.381
643,31.434
2431,29.725
295,45.1786
2101,47.08
581,40.9231
2153,52.7143
7085,46.7627
120,67.2727
1471,83.2308
425,60.1944
1124,37.6818
317,31.5769
572,64.2857
1631,38.5686
1638,31.0
2428,43.5714
219,89.3077
69,33.2564
100,40.0423
2176,58.2115
2175,28.8824
3601,26.6957
92,62.2857
2009,37.2703
757,28.9667
101,65.2188
1953,35.4359
2425,44.8621
509,43.2083
1173,80.7931
5093,39.0435
144,68.4286
1715,34.0938
1309,42.5385
428,49.0
373,34.5714
1714,31.1739
576,70.6154
1122,31.2895
1010,33.2222
2489,53.875
2324,49.0256
1872,43.25
2175,35.8627
539,60.1316
179,42.75
426,44.2174
3950,24.5833
1044,35.1538
7082,45.9615
3262,42.9024
566,26.1481
2173,40.2273
624,49.46
4839,64.6207
3580,51.3214
3457,56.7826
3484,43.9615
2100,29.3333
2608,51.5417
7432,35.6552
3311,32.5758
582,42.6341
25,43.9583
4,68.5455
308,36.0
872,94.913
1965,39.9167
2676,36.7941
1244,27.64
1637,60.8158
162,70.5606
137,92.0
1207,55.8485
1283,67.4516
3609,53.7143
7,82.6949
2755,49.6585
2216,49.1429
1302,49.9167
240,56.5278
233,34.6429
98,55.9231
298,54.0
49,68.0526
3603,28.3889
105,38.7037
3481,29.8302
2478,52.7097
1665,38.5
382,40.56
1199,28.7941
2011,65.0
1622,51.68
813,38.5714
3482,25.5185
659,88.5
2052,59.2963
878,26.1395
70,67.4583
11,71.3158
3004,25.2083
3485,40.75
4539,33.3125
3600,28.5143
72,31.9643
3605,46.5814
1438,68.6389
17,91.4615
785,26.6711
3483,43.2667
77,51.0536
1870,47.0833
4690,24.0426
3480,71.6765
296,43.08
14,48.0556
101,37.3125
6913,39.6053
3970,33.6923
58,71.8
82,25.6207
925,37.6471
1983,90.814
71,70.9508
2321,57.5556
3450,31.5833
2449,57.6087
390,54.4444
758,28.9318
2338,63.2979
6902,54.4839
4816,28.717
6705,35.6892
446,62.9231
304,45.6905
302,41.0256
4992,91.4091
4993,55.7692
589,24.75
4801,27.9412
1433,42.6667
1328,57.2051
1199,24.5484
3423,67.75
1195,26.5
8,57.8462
3361,27.0263
498,38.6216
4652,50.3333
105,34.5417
266,91.875
276,82.5455
3098,26.8571
5765,41.0444
21,42.1404
3422,36.8529
647,35.6667
3606,23.7931
7433,62.098
1993,45.6078
4653,32.12
72,58.8772
955,34.5
11,24.8
94,58.0
138,89.75
495,51.375
36,48.2558
867,45.18
598,61.3455
4195,31.9756
2855,40.0741
385,53.6957
658,81.6818
4,77.2727
1951,49.9211
99,29.7755
893,57.9524
555,85.5417
245,69.2759
3374,51.7381
409,25.6
3486,39.6818
4706,50.375
1918,34.1905
426,88.96
3045,33.5094
99,44.7778
7081,53.359
3353,38.3725
342,58.6905
2483,35.2069
1526,45.5254
262,71.4138
1739,27.6
647,30.7931
658,59.3636
4649,32.4423
49,74.3438
1278,29.5455
2521,67.8125
59,40.6
143,47.561
2674,36.0
2747,24.8462
429,95.5789
2,58.4918
1925,27.4717
1207,29.7419
4854,77.4902
507,46.96
1416,61.6512
4189,64.4
3,62.5733
246,25.2364
1585,37.2308
213,53.8364
1917,33.25
85,45.9583
1090,60.4286
4703,32.6667
264,46.871
1550,43.9167
3424,34.3919
444,64.4286
1411,21.973
1546,46.8889
1093,51.9714
318,27.6333
2049,61.875
3951,29.9643
208,64.1034
549,92.3636
71,35.6818
4211,34.0638
24,63.8
3861,53.5
149,36.6538
2802,38.4444
1388,56.0
3942,22.7813
2217,48.0541
104,48.0625
0,47.3056
3259,37.9189
689,33.8039
1365,51.6154
6907,32.9048
1227,73.1923
106,82.7083
2364,42.7222
93,50.1333
1223,38.84
709,49.2
298,31.5517
540,58.0769
928,54.0
16,29.1
367,25.4545
242,46.5217
375,35.2667
2038,60.2941
1545,34.5926
694,32.2632
1332,73.9388
2671,25.322
4654,22.6667
2014,64.9434
2051,48.973
13,52.5238
4206,37.2093
143,42.6333
1,71.6875
3858,28.8372
204,59.25
2485,28.25
2969,30.0455
488,35.7308
28,64.8824
2224,32.4516
54,56.7619
1716,34.4667
29,52.2778
2688,61.4091
2660,59.2381
92,75.3077
168,61.6
1670,42.1778
5974,62.1429
6920,36.2041
3456,22.1667
124,75.3333
1318,70.4
2654,60.0
38,61.069
2484,32.7551
1212,30.9
3390,38.4167
3972,30.7917
1737,43.6667
203,56.0
81,41.76
375,60.3043
165,40.1892
138,38.7083
9332,29.1852
2012,37.9762
280,72.8824
1546,73.6275
229,43.9706
2071,43.1346
1496,43.2222
1636,56.6
4658,25.2593
422,64.4091
111,61.3913
3360,50.8367
80,50.0435
962,93.8636
1668,44.9459
2119,36.6047
5,63.4762
0,35.6176
38,78.125
768,25.46
558,57.087
1988,72.48
749,51.8163
1228,23.8824
293,37.0909
3280,39.814
3569,93.9286
73,92.1071
2528,81.1143
2689,37.9688
2746,72.8485
2611,43.0
4225,24.68
4988,47.9167
1123,46.6552
2844,51.3103
351,44.0976
655,31.2143
3362,44.6154
243,33.4528
3,38.6977
9330,46.5294
176,46.7429
9384,21.9574
3287,37.9032
564,51.5263
181,46.44
771,66.1935
1788,29.7358
2468,69.12
38,60.6923
120,93.5135
3315,51.1429
3479,41.9545
2360,59.8462
5523,28.8085
5511,39.5897
1226,23.1481
2405,57.5094
2141,30.9063
3355,27.8333
1959,42.4348
1277,65.88
3620,32.1408
120,36.125
1666,45.8182
383,81.6
1952,48.7027
565,48.0
3766,47.14
63,41.0455
3554,32.7317
70,51.2857
1347,42.25
1060,62.122
1200,29.2813
2486,64.3056
1436,23.6842
387,38.0385
387,45.7
59,63.2182
202,66.8077
769,70.1667
2675,29.2593
569,38.4167
1057,34.2
109,31.64
648,59.5926
545,41.7059
15,78.2973
226,42.3214
3947,35.48
1059,48.7636
114,38.3077
47,73.4194
1085,46.6304
310,80.2051
585,22.3846
12,66.56
14,68.9231
3487,51.9583
2602,28.88
248,64.1538
926,36.175
1068,45.2286
1713,31.8293
4651,23.7241
4951,43.2857
1527,57.5455
254,72.3793
40,61.2593
1920,26.3415
356,93.0769
1209,48.6129
1965,26.1333
1235,34.6667
1236,36.5926
9380,78.7391
138,69.625
1020,32.8077
142,69.1923
295,56.4286
2111,42.037
293,27.1818
2426,62.931
4621,32.4872
2326,75.963
101,30.6667
1889,34.4
537,49.3548
3420,22.2754
2028,73.7308
3316,32.7241
1973,39.25
317,41.9412
778,26.7
1112,32.25
588,39.2
2688,21.7222
112,69.2222
120,43.9583
381,79.5455
1787,66.75
243,69.3913
228,38.3871
211,30.6875
1108,22.3818
3358,53.8148
3483,31.7714
1069,55.8378
76,42.8788
587,33.087
1074,75.3636
852,31.2727
3047,39.7838
1632,81.2222
1412,45.8113
89,40.0313
652,44.1304
516,28.9565
784,27.6136
16,78.7353
717,52.122
914,92.2174
448,54.9375
1696,46.0588
3024,22.52
4538,36.7143
7307,59.1795
2982,46.12
568,32.0857
27,67.6341
112,34.0488
3432,37.5652
120,51.5862
135,40.8438
2875,23.7222
35,54.125
117,51.9259
961,35.0
1521,58.7917
1304,43.0476
118,37.9
877,26.9783
137,50.475
1037,89.9643
501,59.5789
1304,63.931
449,35.9706
1728,26.9688
287,52.3182
106,37.8438
3355,23.1111
249,51.0
5172,36.1702
68,60.9615
2223,51.0513
3456,29.2407
2219,34.2778
2172,35.8148
40,47.2857
2488,34.7576
1655,60.0645
2485,35.413
3493,29.6
3973,26.7027
2811,63.1951
1667,57.4375
156,63.5
580,47.2545
54,45.7692
192,40.0769
1891,30.2128
4207,29.5313
154,75.8095
384,33.2174
1605,28.2353
46,44.9444
1771,41.5938
212,31.2
112,55.4091
2531,52.7857
1025,49.9091
110,40.6
5010,33.4545
1418,36.3462
295,25.6818
1524,37.2759
3948,41.4688
1305,45.6818
72,80.5
2445,33.8462
595,42.4815
8069,27.3784
1367,32.0244
4980,41.0606
99,87.7746
2692,29.7692
592,25.4571
75,41.72
9381,31.4364
32,91.2333
3459,42.5806
504,54.4156
2245,30.4255
2522,49.4909
371,31.7273
32,47.6333
3139,48.9744
1070,31.7568
588,23.3462
3046,23.7308
305,32.8372
73,60.5556
2804,29.5577
886,22.4906
62,71.6825
435,24.1818
3,30.4
3447,38.8409
1213,63.625
4967,40.3333
1363,46.9219
177,56.8519
1021,23.871
344,57.84
402,79.4286
5522,31.9048
58,41.0556
802,37.1905
52,31.0678
997,51.3095
369,38.1563
708,38.6563
453,41.6557
441,27.3636
2807,27.413
72,66.6
1110,25.697
103,92.2581
142,46.5238
1410,39.4237
2897,51.16
6800,28.0323
11,78.5217
33,55.6538
3461,42.1163
1203,45.4857
30,54.4265
312,70.32
84,30.0
198,37.8
1341,60.5143
64,36.3125
71,42.9804
483,47.7813
843,57.3871
2900,49.7895
654,61.5
29,73.9677
39,45.963
1310,31.6563
24,46.4444
1157,29.027
548,63.625
173,38.6765
3828,78.8684
2483,27.1818
3552,73.6364
2093,50.1071
892,37.0769
3425,32.5349
65,35.1429
1407,47.6786
1609,27.6875
424,60.9091
3530,46.6176
2040,31.84
3516,40.6364
1498,41.9459
98,43.9545
10,77.64
7308,44.9143
1258,25.8056
2506,34.25
2609,32.6154
3582,75.2703
2800,57.4706
1958,32.6667
2578,53.8043
7304,44.0746
1869,25.623
48,64.4103
3953,49.4737
35,79.0882
5095,27.26
51,22.0385
4705,42.9643
960,63.4186
93,67.6667
1011,40.2069
4535,32.4375
465,52.3913
98,77.0645
59,72.7333
1970,25.7727
559,35.7368
2003,33.9048
5525,24.9318
2120,59.2
214,25.1489
1429,27.0303
815,61.5455
321,37.8788
1416,44.5625
1920,42.3333
880,45.4
93,57.3478
116,38.7143
173,41.4634
1942,51.4483
270,46.6
113,88.9048
3463,67.9167
5485,26.1875
6653,36.913
431,90.5
2199,29.1818
4977,59.5641
3639,28.9722
38,68.6216
103,29.4324
3827,51.3636
803,41.3
1415,28.5926
3444,37.6923
2430,45.9655
1505,31.9767
116,42.0577
112,50.8387
2681,29.4
786,23.0571
657,43.75
434,42.7826
1577,35.8718
1635,46.8333
983,34.2963
1668,39.1282
1547,43.9643
794,31.1905
618,41.7308
390,53.2857
2004,64.0408
34,41.7667
42,35.0667
1287,61.9574
59,38.9394
2091,32.2687
6375,37.7222
2477,40.2857
2576,54.1667
1231,69.2903
1366,24.1897
364,43.6667
56,63.2692
3428,26.2692
16,56.7714
584,74.2414
20,73.0222
505,53.0435
633,77.9583
3685,75.8571
707,34.3
408,32.7755
373,88.2941
3316,30.3103
1237,27.1923
3376,49.3226
8070,45.0244
17,36.9167
3307,44.0952
20,43.8
1633,39.25
327,48.4884
2856,44.3947
56,46.7414
2326,38.0833
374,67.6538
125,63.4419
212,37.4625
9375,49.8636
891,52.5238
1405,40.3448
2010,29.6102
949,72.6944
5487,56.0
25,80.3333
206,91.9355
2013,32.3333
3494,29.8293
3239,41.7931
3474,39.3793
1065,37.0
86,37.2727
220,28.1111
3,45.22
104,29.0612
406,37.381
2636,35.973
373,38.9714
23,43.871
5311,54.9091
3143,60.3913
4656,28.1351
53,50.4762
4620,35.8689
1465,72.7917
255,80.9615
1522,48.3
4682,31.9565
3426,30.6809
1960,30.0323
1324,40.0909
334,60.6296
222,52.3514
4832,48.6842
49,60.9184
449,45.4231
3372,51.7
935,37.5588
15,54.6667
2024,42.8654
2076,45.5106
500,43.0769
30,66.1321
1241,41.0857
3471,47.9118
5484,32.2759
2422,37.75
1841,48.5116
3531,40.4359
6457,30.9167
4371,41.4444
746,28.9211
1973,26.2727
136,21.6571
3401,56.0435
1754,28.0
1729,33.1034
2447,84.875
1961,29.3214
3015,46.6316
2579,59.0714
956,36.1277
549,41.3721
335,37.6977
872,27.6774
1298,36.4884
84,45.0
106,47.68
2407,43.1667
959,40.1923
125,68.7021
4975,47.9048
832,33.0938
3654,76.7742
2282,46.0
905,34.5882
3146,25.5581
641,48.8056
1842,29.7679
3377,52.8333
3520,67.5556
1414,38.8667
242,89.875
592,70.92
74,54.3793
111,38.7143
777,51.7612
1447,29.16
10,55.6341
2333,32.6667
2684,26.2727
187,45.1143
34,58.6818
28,55.2807
5975,51.1
3423,65.7917
894,38.4444
39,82.4231
2011,30.475
4724,31.5417
2974,45.0286
4601,45.5714
13,42.4865
328,62.1
1276,57.6364
625,49.7231
788,37.25
3566,55.7879
187,60.4839
6910,35.3529
102,39.0476
583,50.1111
484,37.6977
365,30.0208
590,31.7209
60,84.1875
2196,38.4091
1961,30.5909
144,60.6667
715,51.8
1069,37.2174
770,27.2895
42,67.6897
3142,23.375
1985,39.3095
1453,38.125
3623,48.6389
6801,48.5429
1473,30.5652
2990,34.1364
1443,52.6429
960,43.1364
156,34.0952
4193,49.0476
1240,50.6829
123,72.4474
8451,35.2333
1038,55.1212
9,62.7619
108,40.3111
2524,42.6667
1548,56.0435
118,87.8214
91,43.75
255,62.2
5519,25.1538
98,67.7045
1792,33.6279
4983,39.8889
567,40.5652
45,46.814
1468,33.3714
2059,51.9524
2607,36.8571
1022,39.6111
5112,37.875
140,94.76
340,35.9302
2115,33.8947
1943,65.8387
98,68.9091
49,41.6296
731,56.0
54,73.8438
3555,27.425
2254,48.7317
58,74.4521
1922,42.7083
1549,22.7447
4210,81.5517
297,40.6957
1002,37.2593
2328,60.44
341,39.3036
280,45.9643
1954,44.973
2255,42.7027
248,83.7955
1843,74.7273
167,24.0303
6649,45.6538
41,89.6316
427,58.7451
19,67.5526
2366,60.6923
2503,30.8485
2332,77.9286
3002,56.8286
94,50.2759
326,49.7619
4998,38.6364
16,71.4167
4989,22.575
121,50.925
3985,35.2571
959,28.7619
107,25.4407
2448,50.0238
3449,43.4412
824,63.0
100,63.3548
300,45.6522
132,33.8462
4717,44.5714
4978,50.3871
1756,36.7742
1153,28.2778
244,52.037
3257,42.0909
2327,44.2364
1329,37.697
1305,85.8
28,45.2051
763,31.0278
556,52.3929
1184,74.7407
1221,27.3704
2110,27.7727
4487,45.8667
3371,48.04
122,88.1351
2513,41.7931
2791,54.1458
183,46.48
7079,31.087
150,29.6809
4,84.6897
386,64.2813
2470,57.4091
442,37.2571
2030,44.9545
1788,51.0541
4542,44.625
46,35.9545
3548,32.2388
2476,30.0
3403,66.5938
3144,34.5161
1774,49.25
1199,27.2273
387,28.3077
384,59.2727
67,83.7
3375,44.8974
3613,23.1064
252,65.6552
2079,50.2619
2067,52.0
921,47.7436
3404,84.3
7444,29.6279
508,22.087
372,62.3846
11515,27.5143
1144,21.6364
2921,69.7
567,31.0286
1408,31.76
1112,35.3824
1697,50.3077
1041,37.3673
1499,35.1667
1639,66.4063
1733,42.0
135,41.5
56,65.2115
660,47.814
2482,25.8125
2075,47.9583
9,47.6098
5309,39.3934
2601,22.9048
2172,47.913
2138,45.36
1243,45.2222
1138,24.0513
666,44.3922
7442,68.1154
1278,34.5417
2161,42.18
2028,82.8182
2042,28.0833
992,34.9429
1302,37.3953
1337,87.4545
557,47.7188
1000,21.85
767,82.0769
1528,34.8421
928,29.6061
4,42.4722
1273,42.1875
4384,41.8
440,74.6154
1022,32.8649
8446,55.8846
382,35.2667
2446,30.6364
1196,30.1591
44,68.4583
1643,43.44
588,47.3571
104,45.8846
778,88.125
994,27.1489
23,56.0
2611,23.0952
3373,22.2727
320,26.6667
1454,43.8684
1432,36.0286
109,66.4568
2243,52.3548
2890,64.9464
2000,43.0968
963,68.5429
2684,23.7551
549,44.8929
531,38.1143
1621,38.359
5303,38.0179
7434,41.8378
1586,36.8056
1300,35.5
1480,44.4583
2329,37.6154
1184,22.4545
60,54.8293
118,44.8846
976,65.4
1852,31.8
3555,63.2333
2522,30.6563
4550,27.6875
2097,52.4231
3458,33.5938
1193,64.6667
3869,51.3333
1616,25.6735
4,77.3478
170,28.2453
106,40.4839
4194,60.8889
2440,33.5833
245,52.8667
4948,30.8333
2905,25.3947
2171,28.881
492,31.6538
585,28.0435
3398,47.0789
25,36.037
309,64.1364
675,32.7353
184,42.9
111,46.55
932,73.8158
180,49.68
826,59.2609
22,52.8261
6908,43.7111
827,70.0345
3980,39.7778
32,78.0513
577,45.6667
2220,64.28
1718,31.5588
895,58.0
3962,25.6857
20,71.0227
2922,41.2121
1527,34.75
2658,43.8462
53,28.3824
1016,28.7273
29,81.6316
3650,47.8621
8,58.2174
2171,64.6087
319,37.5517
81,51.0417
199,58.6429
2434,22.2927
2792,70.3134
2693,32.3913
824,21.6341
3238,56.9545
8442,31.0
362,44.6522
2521,35.283
420,84.0
1415,30.8958
979,33.9459
821,27.098
59,64.4375
658,33.0333
1495,44.9259
1145,31.3571
4680,22.9773
1202,64.6129
903,49.5
3158,62.5
1455,42.5238
9382,58.7778
46,61.04
3152,47.9032
101,55.0952
2599,32.0244
4667,35.46
2103,29.4074
99,75.9545
972,47.275
763,34.6667
165,61.9524
313,32.925
2060,75.7059
1671,46.7353
2694,30.4
569,36.2742
1411,26.3457
878,77.48
4488,33.48
1131,22.6923
768,41.963
6,47.2941
255,26.2927
977,23.5769
931,87.4444
140,70.5882
20,28.9677
3913,37.2414
314,55.1515
1822,41.4583
1282,30.8955
408,39.1852
3474,43.5185
1092,43.5918
790,49.7381
912,54.3182
54,66.2258
2218,79.2
1289,45.3191
2328,36.8462
1470,40.2857
1849,36.375
1262,36.2424
1640,28.2292
3960,34.5532
27,25.48
4979,46.4615
2605,51.0333
1692,76.5357
72,45.8333
2685,38.2222
1196,53.6857
144,48.3556
897,27.9024
786,31.0333
1650,45.625
571,39.6327
9,54.8485
2647,22.9302
3153,64.0
1748,63.8611
209,56.3182
177,48.119
336,44.7419
1092,75.7838
4800,39.0208
438,32.1522
11518,30.0556
1996,22.7091
9333,48.881
4996,43.0
111,37.92
54,41.6486
2032,41.6944
2694,28.0
1635,65.9259
9342,48.0435
979,69.7288
436,29.3333
356,63.9459
655,48.6585
2172,37.9623
394,39.7209
1919,50.6042
3869,46.4865
1333,39.25
1994,52.36
199,38.2857
1660,41.6923
3611,25.0222
180,61.8462
398,71.2
350,60.7959
1643,31.1935
2581,71.0541
3264,28.475
4796,35.3673
2404,51.0625
3536,45.9583
1692,44.6176
6996,44.8696
4615,38.5385
563,83.2381
1142,35.4
511,81.1111
136,53.18
8,94.32
6911,36.6207
96,39.24
14,52.0741
1850,66.6415
529,52.96
1301,29.3143
557,50.9583
2403,32.878
83,49.9048
4986,28.7407
780,38.3143
4978,30.0
7074,33.5556
272,62.7955
51,78.7692
384,56.7619
5493,30.7742
2534,36.8846
3434,28.5385
3368,29.4643
3419,52.3556
60,39.0
4689,35.3929
9374,55.4848
4625,39.3971
549,39.2917
130,49.9296
1112,33.4853
2443,37.8958
3580,32.9767
2400,41.1923
2534,93.5909
1923,44.6818
5306,34.871
4834,40.9318
904,47.2051
2533,38.0
2808,26.093
16,59.6667
5521,38.2821
3236,56.9423
4984,44.45
1359,45.4286
1083,44.1837
2810,52.3415
3406,40.7292
696,55.6429
657,31.1667
152,38.5
1871,37.9688
1737,47.963
1969,24.0455
1552,50.6667
1295,77.4242
2327,82.2642
148,34.2917
1640,44.2174
1242,38.6818
306,83.0278
8467,34.0
35,51.5217
68,36.3036
438,32.6538
2997,24.5676
2691,39.6364
152,65.3333
5494,87.2121
1083,50.2308
407,47.0
4,90.125
1364,26.3929
1140,56.0435
4208,34.0167
7301,51.76
572,42.5455
2996,22.7736
4491,30.0606
5143,39.5472
192,73.2778
663,63.5556
2606,33.1343
21,64.2857
1110,45.5192
275,37.093
643,32.8085
109,75.7727
1720,40.0
967,50.4333
2965,25.5556
4,50.8125
3312,25.8028
1420,52.6
8068,41.2903
4388,37.5938
3310,36.025
2415,35.9655
133,62.4688
729,49.6
2413,26.8163
4798,42.925
1104,41.2432
52,36.093
46,63.5238
251,91.5667
2896,35.76
568,47.1169
155,61.0
95,51.7813
1528,26.4348
2033,35.4118
1287,55.72
2398,27.6538
167,54.3462
1551,42.5
6909,52.7241
4672,44.8182
1304,49.9118
898,68.1923
159,45.0645
315,38.8421
437,50.3571
188,55.4063
106,60.0
413,50.8077
3265,28.1786
4276,77.3333
171,40.5
6460,34.7027
2471,59.9583
388,40.037
5170,80.2083
39,39.9
560,76.8
32,61.1731
147,35.8511
1414,51.5
2626,42.0
922,58.4762
248,47.6462
120,75.8333
1299,51.7674
1921,56.0857
817,21.7778
85,52.2083
241,51.9074
1698,54.6522
1453,36.7143
1302,23.1818
767,49.5294
1259,45.0256
1890,31.9394
6454,23.8636
2678,31.4627
1773,43.0
662,45.9429
6916,32.5
6802,72.1667
427,45.2917
19,70.7692
2895,62.4407
9331,44.8261
140,49.1957
439,31.625
116,59.4063
593,43.2571
2034,25.3404
2025,45.5758
2650,40.7667
5362,76.3571
1890,39.2069
1061,57.15
2980,30.9556
3519,35.5667
1959,25.8276
2632,30.1154
115,60.8108
1495,57.5682
1111,24.1622
5001,45.8776
550,43.8636
167,55.2593
1942,41.5849
2439,27.8723
141,62.4167
2902,68.4444
41,70.3409
1455,41.037
1657,41.8889
7002,74.08
556,67.9333
328,34.0345
711,27.1739
510,47.8519
286,44.1739
2833,30.9524
1466,30.2667
698,31.8824
743,59.1538
405,53.175
1550,45.0
1335,55.3438
1530,46.08
389,38.9667
23,60.1579
54,77.7674
3280,88.0357
23,80.9512
7,38.2703
1297,69.5
1302,31.5
2504,30.2727
690,47.1556
3356,22.3137
569,54.8846
117,50.5
3137,47.8214
6464,29.3962
3275,80.52
1325,28.8667
21,58.0976
134,58.8125
2494,45.52
198,37.3182
1479,53.0417
4806,36.7963
962,42.76
169,54.9524
776,77.0435
1239,25.7586
4988,53.3333
4975,36.7917
2920,42.82
2078,51.4815
7003,40.2553
1725,37.0175
103,61.1739
166,54.4118
96,34.8636
1416,33.087
2517,29.9362
133,52.75
4966,79.9333
3516,47.75
3474,28.6875
2070,48.72
85,50.3667
1,95.1081
110,60.5385
244,41.9583
2966,23.8958
1547,39.7619
6803,32.1034
5204,39.5238
3875,27.8571
2168,56.76
1756,69.7826
1921,51.6957
1937,47.7143
4549,90.8182
95,44.3333
766,61.1333
892,75.0938
6,88.8889
2406,22.8615
1966,24.2143
246,38.6429
2036,30.2679
926,87.1852
1851,70.75
173,42.0169
3870,34.5625
7445,57.8696
669,28.65
1966,35.8478
7439,44.12
3373,23.8393
8448,26.3333
55,47.8529
2481,27.1667
1981,34.2381
28,57.2075
4199,45.0
789,37.3538
2479,34.5455
2865,23.2258
1933,33.6849
110,60.0323
597,22.28
133,44.1282
75,53.3077
17,62.4324
4027,51.3636
71,93.8387
5981,73.3889
1964,28.7353
4619,44.3103
2627,29.6842
632,82.1944
1440,29.963
2056,65.6567
3653,22.2857
4555,51.9286
159,39.4444
658,26.913
203,22.2727
2337,68.9524
2394,22.7885
341,46.7407
370,35.4267
4802,26.12
1664,40.4194
1584,44.2391
1654,54.1538
2816,33.9643
113,56.6585
2,89.1887
325,46.7273
34,63.4
225,39.2889
925,63.0417
1735,22.8519
913,58.569
271,49.9683
4972,35.6098
113,68.3103
3552,49.2381
273,36.6825
2525,75.9048
2993,28.2286
5203,48.48
2334,56.8333
215,26.9091
2145,31.0909
1265,36.2692
270,52.8125
664,39.0
10,95.3429
4622,36.5333
2580,44.9783
1669,43.7297
3016,23.6613
2444,76.1884
